Sample No.,molecule_name,monodispersity,S/P
j56,Butanol,1,P
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
j19,Butanol,1,P
baseline,Butanol,1,SP
baseline,Butanol,1,SP
j53,Butanol,1,P
j50,Butanol,1,P
j49,Butanol,1,P
j47,Butanol,1,P
baseline,Butanol,1,SP
j46,Butanol,1,P
182,Butanol,1,P
256,Butanol,1,P
258,Butanol,1,P
259,Butanol,1,P
260,Butanol,1,P
262,Butanol,1,P
263,Butanol,1,P
264,Butanol,1,P
j35,Butanol,1,P
j26,Butanol,1,P
j21,Butanol,1,P
j17,Butanol,1,P
j18,Butanol,1,P
179,Butanol,1,P
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
15,Butanol,1,P
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
baseline,Butanol,1,SP
j20,Butanol,1,P
baseline,Butanol,1,SP
baseline,Butanol,1,SP
326,Cyclopentanone,1,P
325,Cyclopentanone,1,P
324,Cyclopentanone,1,P
323,Cyclopentanone,1,P
322,Cyclopentanone,1,P
321,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
320,Cyclopentanone,1,P
319,Cyclopentanone,1,P
316,Cyclopentanone,1,P
315,Cyclopentanone,1,P
314,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
328,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
330,Cyclopentanone,1,P
331,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
425,Cyclopentanone,1,P
423,Cyclopentanone,1,P
421,Cyclopentanone,1,P
357,Cyclopentanone,1,P
354,Cyclopentanone,1,P
352,Cyclopentanone,1,P
349,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
339,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
334,Cyclopentanone,1,P
333,Cyclopentanone,1,P
332,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
baseline,Cyclopentanone,1,SP
329,Cyclopentanone,1,P
335,Cyclopentanone,1,P
baseline,Cyclopentanone,1,SP
j22,Ethanol,1,P
baseline,Ethanol,1,SP
75,Ethanol,1,P
76,Ethanol,1,P
baseline,Ethanol,1,SP
77,Ethanol,1,P
78,Ethanol,1,P
80,Ethanol,1,P
81,Ethanol,1,P
82,Ethanol,1,P
83,Ethanol,1,P
85,Ethanol,1,P
86,Ethanol,1,P
74,Ethanol,1,P
91,Ethanol,1,P
104,Ethanol,1,P
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
baseline,Ethanol,1,SP
415,Ethanol,1,P
93,Ethanol,1,P
