;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;baseline;artificial;encoding;fwhm;peak_pos;NPL_type;poly_peak_pos;peak_pos_eV
0;10;0.5925155925155925;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;30.0;6.852;0.1;0.1142;0.06666666666666667;0.4552096212206362;10.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.0852475247524751;460.0;3.0;;
1;11;0.5925155925155925;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.15;1.0;1.0;0.0;P;3.0;30.0;3.699;0.1;0.06165;0.025;0.3147128245476003;11.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.08101098109810945;462.0;3.0;;
2;12;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.2;1.0;1.0;0.0;P;3.0;15.0;3.426;0.2;0.1142;0.03333333333333333;0.17421602787456447;12.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.08462754275427553;460.0;3.0;;
3;13;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.1;1.0;1.0;0.0;P;3.0;15.0;2.466;0.2;0.08220000000000001;0.016666666666666666;0.11801730920535011;13.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.08194095409540969;462.0;3.0;;
4;14;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;i-PrOH;0.4;1.0;1.0;0.0;P;3.0;15.0;5.232;0.2;0.1744;0.06666666666666667;0.28661346521299313;14.txt;Isopropanol;False;False;[1.0, 0.0, 0.30000000000000004, 0.0, 1.0];0.08855409540954096;458.99999999999994;3.0;;
5;15;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;n-BuOH;0.4;1.0;1.0;0.0;P;3.0;15.0;4.36;0.2;0.14533333333333334;0.06666666666666667;0.28661346521299313;15.txt;Butanol;False;False;[1.0, 0.0, 0.4, 0.0, 0.0];0.08442088208820886;461.0;3.0;;
6;46;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.45;1.0;1.0;0.0;P;3.0;15.0;7.7085;0.2;0.25694999999999996;0.075;0.3147128245476003;46.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13029954995499526;479.0;0.0;;
7;47;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.5;1.0;1.0;0.0;P;3.0;15.0;8.565;0.2;0.2855;0.08333333333333333;0.34281218388220747;47.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.128232943294329;484.99999999999994;5.0;;
8;48;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.55;1.0;1.0;0.0;P;3.0;15.0;9.4215;0.2;0.31405;0.09166666666666666;0.37091154321681463;48.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.12823294329432944;487.0;5.0;;
9;49;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.6;1.0;1.0;0.0;P;3.0;15.0;10.277999999999999;0.2;0.34259999999999996;0.1;0.39901090255142185;49.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.15086228622862263;488.00000000000006;5.0;;
10;50;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.8;1.0;0.0;0.0;P;3.0;15.0;13.704;0.2;0.4568;0.13333333333333333;0.5114083398898505;50.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.15055229522952285;498.0;7.0;;
11;51;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.05;1.0;1.0;0.0;P;3.0;15.0;1.233;0.2;0.041100000000000005;0.008333333333333333;0.08991794987074295;51.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.0996104410441041;458.99999999999994;3.0;;
12;52;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.1;1.0;1.0;0.0;P;3.0;15.0;2.466;0.2;0.08220000000000001;0.016666666666666666;0.11801730920535011;52.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.08638415841584113;462.0;3.0;;
13;53;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.15;1.0;1.0;0.0;P;3.0;15.0;3.699;0.2;0.1233;0.025;0.14611666853995728;53.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.12885292529252945;480.99999999999994;0.0;;
14;54;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.2;1.0;1.0;0.0;P;3.0;15.0;4.932;0.2;0.16440000000000002;0.03333333333333333;0.17421602787456447;54.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.12172313231323129;487.0;5.0;;
15;55;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.25;1.0;1.0;0.0;P;3.0;15.0;6.165;0.2;0.2055;0.041666666666666664;0.20231538720917164;55.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.14197587758775887;496.0;6.0;;
16;56;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.3;1.0;1.0;0.0;P;3.0;15.0;7.398;0.2;0.2466;0.05;0.2304147465437788;56.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.13505274527452782;506.0;8.0;;
