;Unnamed: 0;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos;baseline;artificial
0;8;10;0.5925155925155925;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;30.0;34260.0;0.1;0.1142;0.0666666666666666;0.4552096212206362;10.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0852475247524751;460.0;False;False
1;9;11;0.5925155925155925;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.15;1.0;1.0;0.0;P;3.0;30.0;18495.0;0.1;0.06165;0.025;0.3147128245476003;11.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0810109810981094;462.0;False;False
2;10;12;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.2;1.0;1.0;0.0;P;3.0;15.0;17130.0;0.2;0.1142;0.0333333333333333;0.17421602787456447;12.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0846275427542755;460.0;False;False
3;11;13;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.1;1.0;1.0;0.0;P;3.0;15.0;12330.0;0.2;0.0822;0.0166666666666666;0.11801730920535011;13.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0819409540954096;462.0;False;False
4;12;14;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;i-PrOH;0.4;1.0;1.0;0.0;P;3.0;15.0;26160.0;0.2;0.1744;0.0666666666666666;0.28661346521299313;14.txt;Isopropanol;[1.0, 0.0, 0.30000000000000004, 0.0, 1.0];0.0885540954095409;459.0;False;False
5;13;15;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;n-BuOH;0.4;1.0;1.0;0.0;P;3.0;15.0;21800.0;0.2;0.1453333333333333;0.0666666666666666;0.28661346521299313;15.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.0844208820882088;461.0;False;False
6;44;46;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.45;1.0;1.0;0.0;P;3.0;15.0;38542.5;0.2;0.2569499999999999;0.075;0.3147128245476003;46.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1302995499549952;479.0;False;False
7;45;47;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.5;1.0;1.0;0.0;P;3.0;15.0;42825.0;0.2;0.2855;0.0833333333333333;0.34281218388220747;47.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.128232943294329;485.0;False;False
8;46;48;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.55;1.0;1.0;0.0;P;3.0;15.0;47107.5;0.2;0.31405;0.0916666666666666;0.37091154321681463;48.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1282329432943294;487.0;False;False
9;47;49;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.6;1.0;1.0;0.0;P;3.0;15.0;51390.0;0.2;0.3425999999999999;0.1;0.39901090255142185;49.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1508622862286226;488.00000000000006;False;False
10;48;50;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.8;1.0;0.0;0.0;P;3.0;15.0;68520.0;0.2;0.4568;0.1333333333333333;0.5114083398898505;50.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1505522952295228;498.0;False;False
11;49;51;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.05;1.0;1.0;0.0;P;3.0;15.0;6165.0;0.2;0.0411;0.0083333333333333;0.08991794987074295;51.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0996104410441041;459.0;False;False
12;50;52;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.1;1.0;1.0;0.0;P;3.0;15.0;12330.0;0.2;0.0822;0.0166666666666666;0.11801730920535011;52.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0863841584158411;462.0;False;False
13;51;53;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.15;1.0;1.0;0.0;P;3.0;15.0;18495.0;0.2;0.1233;0.025;0.14611666853995728;53.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1288529252925294;481.0;False;False
14;52;54;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.2;1.0;1.0;0.0;P;3.0;15.0;24660.0;0.2;0.1644;0.0333333333333333;0.17421602787456447;54.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1217231323132312;487.0;False;False
15;53;55;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.25;1.0;1.0;0.0;P;3.0;15.0;30825.0;0.2;0.2055;0.0416666666666666;0.20231538720917164;55.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1419758775877588;496.0;False;False
16;54;56;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.3;1.0;1.0;0.0;P;3.0;15.0;36990.0;0.2;0.2466;0.05;0.2304147465437788;56.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1350527452745278;506.0;False;False
17;55;57;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.35;1.0;0.0;0.0;P;3.0;15.0;43155.0;0.2;0.2877;0.0583333333333333;0.25851410587838597;57.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1493123312331237;505.0;False;False
18;56;58;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.4;1.0;1.0;0.0;P;3.0;15.0;49320.0;0.2;0.3288;0.0666666666666666;0.28661346521299313;58.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0938239423942395;512.0;False;False
19;57;59;0.2182952182952183;0.09090909090909091;0.48717948717948717;0.07079646017699115;MeOH;0.4;1.0;1.0;0.0;P;6.0;12.0;49320.0;0.5;0.411;0.0333333333333333;0.26975384961222887;59.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0851441944194419;512.0;False;False
20;58;60;0.20270270270270271;0.09090909090909091;0.6153846153846154;0.07079646017699115;MeOH;0.4;1.0;1.0;0.0;P;7.5;11.25;49320.0;0.6666666666666666;0.4384;0.0266666666666666;0.26975384961222887;60.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0826642664266428;513.0;False;False
21;59;61;0.17671517671517672;0.09090909090909091;0.8290598290598291;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;10.0;10.0;34260.0;1.0;0.3425999999999999;0.02;0.26975384961222887;61.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0914473447344734;514.0;False;False
22;60;62;0.17671517671517672;0.09090909090909091;0.8290598290598291;0.07079646017699115;MeOH;0.4;1.0;1.0;0.0;P;10.0;10.0;49320.0;1.0;0.4932;0.02;0.26975384961222887;62.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0788410441044105;514.0;False;False
23;61;63;0.30353430353430355;0.09090909090909091;0.042735042735042736;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;0.8;16.1;34260.0;0.0496894409937888;0.2127950310559005;0.25;0.28661346521299313;63.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.131229522952295;461.0;False;False
24;62;64;0.29521829521829523;0.09090909090909091;0.1111111111111111;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;1.6;15.7;34260.0;0.1019108280254777;0.2182165605095541;0.125;0.28661346521299313;64.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.134639423942394;463.0;False;False
25;63;65;0.28794178794178793;0.09090909090909091;0.17094017094017094;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;2.3000000000000003;15.35;34260.0;0.1498371335504886;0.2231921824104234;0.0869565217391304;0.28661346521299313;65.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1461090909090909;471.0;False;False
26;64;66;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.0666666666666666;0.28661346521299313;66.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1317461746174615;475.00000000000006;False;False
27;65;67;0.2733887733887734;0.09090909090909091;0.2905982905982906;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.7;14.65;34260.0;0.2525597269624573;0.2338566552901023;0.054054054054054;0.28661346521299313;67.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1275096309630963;477.0;False;False
28;66;68;0.26715176715176714;0.09090909090909091;0.3418803418803419;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;4.3;14.35;34260.0;0.2996515679442508;0.2387456445993031;0.0465116279069767;0.28661346521299313;68.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.166878487848785;475.00000000000006;False;False
