Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P
2;3000;0.01;150.0;0.02;EtAc;2000;1.0;1.0;0.0;P
3;1500;0.01;150.0;0.02;EtAc;2000;1.0;1.0;0.0;P
4;3000;0.01;150.0;0.02;MeAc;2000;1.0;1.0;0.0;P
5;1500;0.01;150.0;0.02;MeAc;2000;1.0;1.0;0.0;P
6;1500;0.01;150.0;0.02;Ac;2000;1.0;1.0;0.0;P
7;1500;0.01;150.0;0.02;Ac;2000;1.0;1.0;0.0;P
8;1500;0.01;150.0;0.02;Ac;1000;1.0;1.0;0.0;P
9;1500;0.01;150.0;0.02;Ac;1500;1.0;1.0;0.0;P
10;3000;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
11;3000;0.01;150.0;0.02;MeOH;750;1.0;1.0;0.0;P
12;1500;0.01;150.0;0.02;EtOH;1000;1.0;1.0;0.0;P
13;1500;0.01;150.0;0.02;MeOH;500;1.0;1.0;0.0;P
14;1500;0.01;150.0;0.02;i-PrOH;2000;1.0;1.0;0.0;P
15;1500;0.01;150.0;0.02;n-BuOH;2000;1.0;1.0;0.0;P
16;1500;0.01;150.0;0.02;n-PrOH;2000;1.0;0.0;0.0;P
17;1500;0.01;150.0;0.02;t-BuOH;2000;1.0;1.0;0.0;P
18;1500;0.01;150.0;0.005;Ac;2000;1.0;0.0;0.0;P
19;1500;0.01;150.0;0.01;Ac;2000;1.0;1.0;0.0;P
20;1500;0.01;150.0;0.04;Ac;2000;1.0;1.0;0.0;P
21;1500;0.01;150.0;0.1;Ac;2000;1.0;0.0;0.0;P
22;1500;0.01;150.0;0.2;Ac;2000;1.0;0.0;0.0;P
23;1500;0.01;600.0;0.005;Ac;2000;1.0;1.0;0.0;P
24;1500;0.01;300.0;0.01;Ac;2000;1.0;1.0;0.0;P
25;1500;0.01;75.0;0.04;Ac;2000;1.0;1.0;0.0;P
26;1500;0.01;30.0;0.1;Ac;2000;1.0;1.0;0.0;P
27;1500;0.01;15.0;0.2;Ac;2000;1.0;0.0;0.0;P
28;1500;0.0025;150.0;0.02;Ac;2000;1.0;0.0;0.0;P
29;1500;0.005;150.0;0.02;Ac;2000;1.0;0.0;0.0;P
30;1500;0.02;150.0;0.02;Ac;2000;1.0;0.0;0.0;P
31;1500;0.05;150.0;0.02;Ac;2000;1.0;1.0;0.0;P
32;1500;0.1;150.0;0.02;Ac;2000;1.0;0.0;0.0;P
33;1500;0.0025;150.0;0.005;Ac;2000;1.0;0.5;0.0;P
34;1500;0.005;150.0;0.01;Ac;2000;1.0;0.5;0.0;P
35;1500;0.02;150.0;0.04;Ac;2000;1.0;0.5;0.0;P
36;1500;0.05;150.0;0.1;Ac;2000;1.0;0.0;0.0;P
37;1500;0.1;150.0;0.2;Ac;2000;1.0;0.0;0.0;P
38;1500;0.01;150.0;0.02;Ac;2250;1.0;1.0;0.0;P
39;1500;0.01;150.0;0.02;Ac;2500;1.0;0.0;0.0;P
40;1500;0.01;150.0;0.02;Ac;2750;1.0;0.0;0.0;P
41;1500;0.01;150.0;0.02;Ac;3000;1.0;0.0;0.0;P
42;1500;0.01;150.0;0.02;Ac;3250;1.0;0.0;0.0;P
43;1500;0.01;150.0;0.02;Ac;3500;1.0;1.0;0.0;P
44;1500;0.01;150.0;0.02;Ac;3750;1.0;1.0;0.0;P
45;1500;0.01;150.0;0.02;Ac;4000;1.0;1.0;0.0;P
46;1500;0.01;150.0;0.02;EtOH;2250;1.0;1.0;0.0;P
47;1500;0.01;150.0;0.02;EtOH;2500;1.0;1.0;0.0;P
48;1500;0.01;150.0;0.02;EtOH;2750;1.0;1.0;0.0;P
49;1500;0.01;150.0;0.02;EtOH;3000;1.0;1.0;0.0;P
50;1500;0.01;150.0;0.02;EtOH;4000;1.0;0.0;0.0;P
51;1500;0.01;150.0;0.02;MeOH;250;1.0;1.0;0.0;P
52;1500;0.01;150.0;0.02;MeOH;500;1.0;1.0;0.0;P
53;1500;0.01;150.0;0.02;MeOH;750;1.0;1.0;0.0;P
54;1500;0.01;150.0;0.02;MeOH;1000;1.0;1.0;0.0;P
55;1500;0.01;150.0;0.02;MeOH;1250;1.0;1.0;0.0;P
56;1500;0.01;150.0;0.02;MeOH;1500;1.0;1.0;0.0;P
57;1500;0.01;150.0;0.02;MeOH;1750;1.0;0.0;0.0;P
58;1500;0.01;150.0;0.02;MeOH;2000;1.0;1.0;0.0;P
59;1200;0.01;300.0;0.02;MeOH;2000;1.0;1.0;0.0;P
60;1125;0.01;375.0;0.02;MeOH;2000;1.0;1.0;0.0;P
61;1000;0.01;500.0;0.02;EtOH;2000;1.0;1.0;0.0;P
62;1000;0.01;500.0;0.02;MeOH;2000;1.0;1.0;0.0;P
63;1610;0.01;40.0;0.02;EtOH;2000;1.0;1.0;0.0;P
64;1570;0.01;80.0;0.02;EtOH;2000;1.0;1.0;0.0;P
65;1535;0.01;115.0;0.02;EtOH;2000;1.0;1.0;0.0;P
66;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
67;1465;0.01;185.0;0.02;EtOH;2000;1.0;1.0;0.0;P
68;1435;0.01;215.0;0.02;EtOH;2000;1.0;1.0;0.0;P
69;1395;0.01;245.0;0.02;EtOH;2000;1.0;0.0;0.0;P
70;1365;0.01;270.0;0.02;EtOH;2000;1.0;0.0;0.0;P
71;1500;0.01;600.0;0.005;EtOH;2000;1.0;1.0;0.0;P
72;1500;0.01;150.0;0.01;EtOH;2000;1.0;1.0;0.0;P
73;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P
74;1500;0.01;150.0;0.022;EtOH;2000;1.0;1.0;0.0;P
75;1500;0.01;150.0;0.024;EtOH;2000;1.0;1.0;0.0;P
76;1500;0.01;150.0;0.026;EtOH;2000;1.0;1.0;0.0;P
77;1500;0.01;150.0;0.028;EtOH;2000;1.0;1.0;0.0;P
78;1500;0.01;150.0;0.03;EtOH;2000;1.0;1.0;0.0;P
79;1500;0.01;150.0;0.04;EtOH;2000;1.0;0.0;0.0;P
