;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos
8;10;3000;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;30.0;34260.0;0.1;0.1142;0.06666666666666667;5150.0;10.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0852475247524751;460.0
9;11;3000;0.01;150.0;0.02;MeOH;750;1.0;1.0;0.0;P;3.0;30.0;18495.0;0.1;0.06165;0.025;3900.0;11.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.08101098109810945;462.0
10;12;1500;0.01;150.0;0.02;EtOH;1000;1.0;1.0;0.0;P;3.0;15.0;17130.0;0.2;0.1142;0.03333333333333333;2650.0;12.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.08462754275427553;460.0
11;13;1500;0.01;150.0;0.02;MeOH;500;1.0;1.0;0.0;P;3.0;15.0;12330.0;0.2;0.08220000000000001;0.016666666666666666;2150.0;13.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.08194095409540969;462.0
12;14;1500;0.01;150.0;0.02;i-PrOH;2000;1.0;1.0;0.0;P;3.0;15.0;26160.0;0.2;0.1744;0.06666666666666667;3650.0;14.txt;Isopropanol;[1.0, 0.0, 0.30000000000000004, 0.0, 1.0];0.08855409540954096;458.99999999999994
13;15;1500;0.01;150.0;0.02;n-BuOH;2000;1.0;1.0;0.0;P;3.0;15.0;21800.0;0.2;0.14533333333333334;0.06666666666666667;3650.0;15.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.08442088208820886;461.0
44;46;1500;0.01;150.0;0.02;EtOH;2250;1.0;1.0;0.0;P;3.0;15.0;38542.5;0.2;0.25694999999999996;0.075;3900.0;46.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13029954995499526;479.0
45;47;1500;0.01;150.0;0.02;EtOH;2500;1.0;1.0;0.0;P;3.0;15.0;42825.0;0.2;0.2855;0.08333333333333333;4150.0;47.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.128232943294329;484.99999999999994
46;48;1500;0.01;150.0;0.02;EtOH;2750;1.0;1.0;0.0;P;3.0;15.0;47107.5;0.2;0.31405;0.09166666666666666;4400.0;48.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.12823294329432944;487.0
47;49;1500;0.01;150.0;0.02;EtOH;3000;1.0;1.0;0.0;P;3.0;15.0;51390.0;0.2;0.34259999999999996;0.1;4650.0;49.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.15086228622862263;488.00000000000006
